jahr,szenario,variante,ausgaben_mrd_euro,beitragsbasis_mrd_euro,zusatzbasis_mrd_euro,bundesmittel_mrd_euro,sonstige_einnahmen_mrd_euro,erforderlicher_beitragssatz,notiz
2033,jung,reform_ohne_erweiterte_basis,554.359,2013.103,0.000,83.992,3.892,0.231720,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2033,jung,reform_mit_erwerbstaetigenbasis,554.359,2096.457,83.354,83.992,3.892,0.222507,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2034,jung,status_quo_bund_anteilig,577.517,2052.812,0.000,132.501,3.989,0.214840,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2034,jung,reform_ohne_erweiterte_basis,577.517,2052.812,0.000,79.464,3.989,0.240677,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2034,jung,reform_mit_erwerbstaetigenbasis,577.517,2159.060,106.248,79.464,3.989,0.228833,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2035,jung,status_quo_bund_anteilig,601.537,2093.247,0.000,138.012,4.089,0.219485,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2035,jung,reform_ohne_erweiterte_basis,601.537,2093.247,0.000,75.003,4.089,0.249586,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2035,jung,reform_mit_erwerbstaetigenbasis,601.537,2223.257,130.009,75.003,4.089,0.234991,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2036,jung,status_quo_bund_anteilig,626.449,2134.422,0.000,143.728,4.191,0.224197,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2036,jung,reform_ohne_erweiterte_basis,626.449,2134.422,0.000,70.625,4.191,0.258447,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2036,jung,reform_mit_erwerbstaetigenbasis,626.449,2269.456,135.034,70.625,4.191,0.243069,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2037,jung,status_quo_bund_anteilig,652.285,2176.347,0.000,149.656,4.296,0.228977,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2037,jung,reform_ohne_erweiterte_basis,652.285,2176.347,0.000,66.341,4.296,0.267259,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2037,jung,reform_mit_erwerbstaetigenbasis,652.285,2316.550,140.203,66.341,4.296,0.251084,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2038,jung,status_quo_bund_anteilig,679.077,2219.034,0.000,155.803,4.403,0.233827,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2038,jung,reform_ohne_erweiterte_basis,679.077,2219.034,0.000,62.165,4.403,0.276025,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2038,jung,reform_mit_erwerbstaetigenbasis,679.077,2364.553,145.519,62.165,4.403,0.259038,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2039,jung,status_quo_bund_anteilig,697.665,2270.970,0.000,160.067,4.513,0.234739,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2039,jung,reform_ohne_erweiterte_basis,697.665,2270.970,0.000,58.108,4.513,0.279636,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2039,jung,reform_mit_erwerbstaetigenbasis,697.665,2422.521,151.551,58.108,4.513,0.262142,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2040,jung,status_quo_bund_anteilig,713.276,2324.116,0.000,163.649,4.626,0.234498,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2040,jung,reform_ohne_erweiterte_basis,713.276,2324.116,0.000,54.176,4.626,0.281601,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2040,jung,reform_mit_erwerbstaetigenbasis,713.276,2481.900,157.785,54.176,4.626,0.263699,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2041,jung,status_quo_bund_anteilig,729.236,2378.499,0.000,167.311,4.742,0.234258,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2041,jung,reform_ohne_erweiterte_basis,729.236,2378.499,0.000,50.374,4.742,0.283423,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2041,jung,reform_mit_erwerbstaetigenbasis,729.236,2542.726,164.227,50.374,4.742,0.265117,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2042,jung,status_quo_bund_anteilig,745.552,2434.149,0.000,171.054,4.860,0.234019,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2042,jung,reform_ohne_erweiterte_basis,745.552,2434.149,0.000,46.704,4.860,0.285105,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2042,jung,reform_mit_erwerbstaetigenbasis,745.552,2605.033,170.884,46.704,4.860,0.266403,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2043,jung,status_quo_bund_anteilig,762.234,2491.096,0.000,174.882,4.982,0.233781,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2043,jung,reform_ohne_erweiterte_basis,762.234,2491.096,0.000,43.166,4.982,0.286656,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2043,jung,reform_mit_erwerbstaetigenbasis,762.234,2668.858,177.762,43.166,4.982,0.267563,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2044,jung,status_quo_bund_anteilig,779.288,2549.368,0.000,178.794,5.106,0.233543,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2044,jung,reform_ohne_erweiterte_basis,779.288,2549.368,0.000,39.759,5.106,0.288080,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2044,jung,reform_mit_erwerbstaetigenbasis,779.288,2734.236,184.868,39.759,5.106,0.268603,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2045,jung,status_quo_bund_anteilig,796.724,2608.997,0.000,182.795,5.234,0.233306,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2045,jung,reform_ohne_erweiterte_basis,796.724,2608.997,0.000,36.483,5.234,0.289386,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2045,jung,reform_mit_erwerbstaetigenbasis,796.724,2801.205,192.209,36.483,5.234,0.269529,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2046,jung,status_quo_bund_anteilig,814.550,2670.013,0.000,186.885,5.365,0.233070,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2046,jung,reform_ohne_erweiterte_basis,814.550,2670.013,0.000,33.337,5.365,0.290578,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2046,jung,reform_mit_erwerbstaetigenbasis,814.550,2869.352,199.338,33.337,5.365,0.270391,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2047,jung,status_quo_bund_anteilig,832.774,2732.451,0.000,191.066,5.499,0.232835,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2047,jung,reform_ohne_erweiterte_basis,832.774,2732.451,0.000,30.322,5.499,0.291662,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2047,jung,reform_mit_erwerbstaetigenbasis,832.774,2939.146,206.696,30.322,5.499,0.271151,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2048,jung,status_quo_bund_anteilig,851.405,2796.341,0.000,195.340,5.636,0.232600,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2048,jung,reform_ohne_erweiterte_basis,851.405,2796.341,0.000,27.441,5.636,0.292642,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2048,jung,reform_mit_erwerbstaetigenbasis,851.405,3010.629,214.288,27.441,5.636,0.271813,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2049,jung,status_quo_bund_anteilig,870.453,2861.718,0.000,199.711,5.777,0.232366,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2049,jung,reform_ohne_erweiterte_basis,870.453,2861.718,0.000,24.700,5.777,0.293522,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2049,jung,reform_mit_erwerbstaetigenbasis,870.453,3083.839,222.121,24.700,5.777,0.272380,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2050,jung,status_quo_bund_anteilig,889.927,2928.616,0.000,204.179,5.921,0.232132,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2050,jung,reform_ohne_erweiterte_basis,889.927,2928.616,0.000,22.104,5.921,0.294303,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2050,jung,reform_mit_erwerbstaetigenbasis,889.927,3158.819,230.204,22.104,5.921,0.272855,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2051,jung,status_quo_bund_anteilig,909.836,2997.070,0.000,208.746,6.070,0.231900,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2051,jung,reform_ohne_erweiterte_basis,909.836,2997.070,0.000,19.663,6.070,0.294989,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2051,jung,reform_mit_erwerbstaetigenbasis,909.836,3235.612,238.542,19.663,6.070,0.273242,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2052,jung,status_quo_bund_anteilig,930.190,3067.117,0.000,213.416,6.221,0.231668,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2052,jung,reform_ohne_erweiterte_basis,930.190,3067.117,0.000,17.384,6.221,0.295582,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2052,jung,reform_mit_erwerbstaetigenbasis,930.190,3314.260,247.143,17.384,6.221,0.273541,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2053,jung,status_quo_bund_anteilig,950.999,3138.793,0.000,218.191,6.377,0.231437,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2053,jung,reform_ohne_erweiterte_basis,950.999,3138.793,0.000,15.279,6.377,0.296083,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2053,jung,reform_mit_erwerbstaetigenbasis,950.999,3394.808,256.016,15.279,6.377,0.273754,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2054,jung,status_quo_bund_anteilig,972.274,3212.136,0.000,223.072,6.536,0.231206,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2054,jung,reform_ohne_erweiterte_basis,972.274,3212.136,0.000,13.356,6.536,0.296495,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2054,jung,reform_mit_erwerbstaetigenbasis,972.274,3477.303,265.167,13.356,6.536,0.273885,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2055,jung,status_quo_bund_anteilig,994.023,3287.184,0.000,228.062,6.700,0.230976,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2055,jung,reform_ohne_erweiterte_basis,994.023,3287.184,0.000,11.620,6.700,0.296821,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2055,jung,reform_mit_erwerbstaetigenbasis,994.023,3561.790,274.606,11.620,6.700,0.273936,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2056,jung,status_quo_bund_anteilig,1016.259,3363.977,0.000,233.163,6.867,0.230747,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2056,jung,reform_ohne_erweiterte_basis,1016.259,3363.977,0.000,10.073,6.867,0.297065,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2056,jung,reform_mit_erwerbstaetigenbasis,1016.259,3648.317,284.340,10.073,6.867,0.273913,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2057,jung,status_quo_bund_anteilig,1038.992,3442.555,0.000,238.379,7.039,0.230519,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2057,jung,reform_ohne_erweiterte_basis,1038.992,3442.555,0.000,8.712,7.039,0.297233,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2057,jung,reform_mit_erwerbstaetigenbasis,1038.992,3736.934,294.379,8.712,7.039,0.273818,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2058,jung,status_quo_bund_anteilig,1062.234,3522.960,0.000,243.711,7.215,0.230291,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2058,jung,reform_ohne_erweiterte_basis,1062.234,3522.960,0.000,7.533,7.215,0.297331,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2058,jung,reform_mit_erwerbstaetigenbasis,1062.234,3827.690,304.730,7.533,7.215,0.273660,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2059,jung,status_quo_bund_anteilig,1085.994,3605.233,0.000,249.163,7.395,0.230065,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2059,jung,reform_ohne_erweiterte_basis,1085.994,3605.233,0.000,6.524,7.395,0.297366,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2059,jung,reform_mit_erwerbstaetigenbasis,1085.994,3920.637,315.404,6.524,7.395,0.273444,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2060,jung,status_quo_bund_anteilig,1110.286,3689.418,0.000,254.736,7.580,0.229838,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2060,jung,reform_ohne_erweiterte_basis,1110.286,3689.418,0.000,5.670,7.580,0.297347,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2060,jung,reform_mit_erwerbstaetigenbasis,1110.286,4015.827,326.409,5.670,7.580,0.273178,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2061,jung,status_quo_bund_anteilig,1135.120,3775.559,0.000,260.434,7.770,0.229613,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2061,jung,reform_ohne_erweiterte_basis,1135.120,3775.559,0.000,4.954,7.770,0.297280,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2061,jung,reform_mit_erwerbstaetigenbasis,1135.120,4113.314,337.755,4.954,7.770,0.272869,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2062,jung,status_quo_bund_anteilig,1160.510,3863.701,0.000,266.259,7.964,0.229388,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2062,jung,reform_ohne_erweiterte_basis,1160.510,3863.701,0.000,4.358,7.964,0.297173,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2062,jung,reform_mit_erwerbstaetigenbasis,1160.510,4213.154,349.453,4.358,7.964,0.272525,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2063,jung,status_quo_bund_anteilig,1186.467,3953.890,0.000,272.215,8.163,0.229164,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2063,jung,reform_ohne_erweiterte_basis,1186.467,3953.890,0.000,3.863,8.163,0.297034,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2063,jung,reform_mit_erwerbstaetigenbasis,1186.467,4315.402,361.511,3.863,8.163,0.272151,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2064,jung,status_quo_bund_anteilig,1213.004,4046.175,0.000,278.303,8.367,0.228941,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2064,jung,reform_ohne_erweiterte_basis,1213.004,4046.175,0.000,3.452,8.367,0.296869,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2064,jung,reform_mit_erwerbstaetigenbasis,1213.004,4420.116,373.941,3.452,8.367,0.271754,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2065,jung,status_quo_bund_anteilig,1240.135,4140.602,0.000,284.528,8.576,0.228718,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2065,jung,reform_ohne_erweiterte_basis,1240.135,4140.602,0.000,3.109,8.576,0.296684,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2065,jung,reform_mit_erwerbstaetigenbasis,1240.135,4527.355,386.753,3.109,8.576,0.271339,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2066,jung,status_quo_bund_anteilig,1267.871,4237.222,0.000,290.892,8.790,0.228496,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2066,jung,reform_ohne_erweiterte_basis,1267.871,4237.222,0.000,2.821,8.790,0.296482,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2066,jung,reform_mit_erwerbstaetigenbasis,1267.871,4637.181,399.959,2.821,8.790,0.270910,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2067,jung,status_quo_bund_anteilig,1296.228,4336.084,0.000,297.397,9.010,0.228275,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2067,jung,reform_ohne_erweiterte_basis,1296.228,4336.084,0.000,2.576,9.010,0.296268,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2067,jung,reform_mit_erwerbstaetigenbasis,1296.228,4749.654,413.569,2.576,9.010,0.270470,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2068,jung,status_quo_bund_anteilig,1325.218,4437.242,0.000,304.049,9.236,0.228055,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2068,jung,reform_ohne_erweiterte_basis,1325.218,4437.242,0.000,2.366,9.236,0.296043,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2068,jung,reform_mit_erwerbstaetigenbasis,1325.218,4864.838,427.596,2.366,9.236,0.270023,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2069,jung,status_quo_bund_anteilig,1354.856,4540.748,0.000,310.849,9.466,0.227835,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2069,jung,reform_ohne_erweiterte_basis,1354.856,4540.748,0.000,2.184,9.466,0.295812,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2069,jung,reform_mit_erwerbstaetigenbasis,1354.856,4982.798,442.050,2.184,9.466,0.269569,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2070,jung,status_quo_bund_anteilig,1385.156,4646.655,0.000,317.801,9.703,0.227616,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2070,jung,reform_ohne_erweiterte_basis,1385.156,4646.655,0.000,2.024,9.703,0.295574,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2070,jung,reform_mit_erwerbstaetigenbasis,1385.156,5103.600,456.945,2.024,9.703,0.269110,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2027,moderat,status_quo_bund_anteilig,434.047,1780.143,0.000,99.585,3.356,0.186000,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2027,moderat,reform_ohne_erweiterte_basis,434.047,1780.143,0.000,99.585,3.356,0.186000,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2027,moderat,reform_mit_erwerbstaetigenbasis,434.047,1780.143,0.000,99.585,3.356,0.186000,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2028,moderat,status_quo_bund_anteilig,453.388,1812.295,0.000,104.022,3.440,0.190877,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2028,moderat,reform_ohne_erweiterte_basis,453.388,1812.295,0.000,104.022,3.440,0.190877,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2028,moderat,reform_mit_erwerbstaetigenbasis,453.388,1812.295,0.000,104.022,3.440,0.190877,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2029,moderat,status_quo_bund_anteilig,473.472,1844.943,0.000,108.630,3.526,0.195842,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2029,moderat,reform_ohne_erweiterte_basis,473.472,1844.943,0.000,108.630,3.526,0.195842,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2029,moderat,reform_mit_erwerbstaetigenbasis,473.472,1844.943,0.000,108.630,3.526,0.195842,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2030,moderat,status_quo_bund_anteilig,494.325,1878.090,0.000,113.415,3.614,0.200894,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2030,moderat,reform_ohne_erweiterte_basis,494.325,1878.090,0.000,97.858,3.614,0.209177,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2030,moderat,reform_mit_erwerbstaetigenbasis,494.325,1897.531,19.441,97.858,3.614,0.207034,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2031,moderat,status_quo_bund_anteilig,515.975,1911.741,0.000,118.382,3.704,0.206037,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2031,moderat,reform_ohne_erweiterte_basis,515.975,1911.741,0.000,93.199,3.704,0.219210,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2031,moderat,reform_mit_erwerbstaetigenbasis,515.975,1951.320,39.579,93.199,3.704,0.214763,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2032,moderat,status_quo_bund_anteilig,538.450,1945.901,0.000,123.538,3.797,0.211272,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
2032,moderat,reform_ohne_erweiterte_basis,538.450,1945.901,0.000,88.574,3.797,0.229240,Bestandsschutz-Zuschuss schmilzt; Beitragsbasis unverändert.
2032,moderat,reform_mit_erwerbstaetigenbasis,538.450,2006.330,60.429,88.574,3.797,0.222336,Bestandsschutz schmilzt; Selbstständige und Neubeamte beziehungsweise neue Dienstherrenbeiträge erhöhen Beitragsbasis.
2033,moderat,status_quo_bund_anteilig,561.779,1980.574,0.000,128.891,3.892,0.216602,Referenz: Bundesmittel behalten 2025er Ausgabenanteil.
